gene,factorName,resTime
YBR162W-A,Rap1,2.01387249660306
YBR181C,Rap1,0.885221036849543
YBR187W,Rap1,1.534817990533
YBR189W,Rap1,2.18259963686285
YBR203W,Rap1,0.403782814741135
YBR212W,Fkh1,0.560332746244967
YBR230W-A,Fkh1,7.06980442912987
YBR241C,Rap1,1.152929440962
YBR243C,Fkh1,0.946668232558295
YBR288C,Rap1,1.02413993225092
YBR295W,Rap1,0.367901820223778
YBR296C-A,Rap1,1.75987862254048
YBR302C,Rap1,1.27492403168186
YCL014W,Fkh1,51.4807176300228
YCL020W,Fkh1,0.905738130910322
YCL030C,Rap1,2.03670346261721
YCL036W,Rap1,1.93981529028209
YCL041C,Rap1,5.04111282747799
YCL066W,Rap1,0.0498921528924257
YCL076W,Fkh1,30.163540276784
YCL076W,Rap1,13.233039195884
YCR009C,Rap1,0.328274069586769
YCR012W,Fkh1,7.55759081817576
YCR012W,Rap1,1.93817169879208
YCR025C,Fkh1,45.4492521569375
YCR025C,Rap1,2.73982676853332
YCR031C,Rap1,1.78631301573582
YCR034W,Fkh1,54.154728212918
YCR034W,Rap1,0.170996390515938
YCR040W,Rap1,0.488254894502461
YCR063W,Fkh1,0.685169729404151
YCR073W-A,Rap1,0.339485083706677
YCR106W,Rap1,0.867228663060814
YCR108C,Fkh1,32.7510020283297
YCR108C,Rap1,1.21824474881935
YDL018C,Fkh1,0.207658972823992
YDL022W,Rap1,9.86509383471978
YDL041W,Rap1,4.27626949006792
YDL048C,Rap1,6.03186514690158
YDL051W,Rap1,10.7697170577186
YDL060W,Rap1,3.66934693803481
YDL067C,Rap1,1.19508876857316
YDL076C,Rap1,1.88383918113217
YDL082W,Rap1,1.92886893286094
YDL130W,Rap1,1.84949023654848
YDL133C-A,Fkh1,0.00394833879545331
YDL133C-A,Rap1,1.98900100480507
YDL136W,Fkh1,4.8358028290422
YDL136W,Rap1,1.08181485855286
YDL157C,Rap1,0.757055602502078
YDL170W,Rap1,0.0897779711522162
YDL181W,Rap1,3.53380684069692
YDL184C,Rap1,2.60752962528827
YDL186W,Rap1,2.40186898596737
YDL221W,Rap1,3.36395276549506
YDL232W,Rap1,0.386454011779279
YDL240C-A,Rap1,0.315260796807706
YDR008C,Rap1,0.060385589953512
YDR009W,Rap1,0.327506022062153
YDR010C,Rap1,3.46263453180814
YDR022C,Rap1,4.9501389220562
YDR024W,Rap1,1.72501193019643
YDR033W,Fkh1,4.45686890768849
YDR037W,Rap1,3.88272530170668
YDR038C,Fkh1,0.379559240536764
YDR047W,Rap1,6.18903862205434
YDR064W,Rap1,1.05842401704951
YDR077W,Fkh1,0.0374310328625143
YDR077W,Rap1,0.30696562025696
YDR089W,Fkh1,0.973539913771674
YDR089W,Rap1,0.107811254449189
YDR095C,Rap1,3.13758981287957
YDR098C,Rap1,1.18339730567216
YDR100W,Rap1,1.49855300937251
YDR107C,Fkh1,0.431751248892397
YDR113C,Fkh1,5.85761816535633
YDR133C,Fkh1,0.887754905503243
YDR144C,Rap1,4.21516293638389
YDR152W,Rap1,2.64319501681299
YDR156W,Rap1,3.56005269102182
YDR179C,Fkh1,0.970966610359028
YDR188W,Rap1,5.81514700278016
YDR210C-D,Fkh1,3.93688037200573
YDR210W-A,Fkh1,0.618838207330555
YDR214W,Fkh1,11.1423383972589
YDR214W,Rap1,0.496903428109363
YDR215C,Rap1,2.82264436066547
YDR222W,Fkh1,6.99215118128329
YDR226W,Rap1,0.0930746719241142
YDR233C,Rap1,2.09343402956387
YDR246W-A,Rap1,1.89290132947141
YDR247W,Fkh1,0.038936491124332
YDR249C,Rap1,0.211773658171296
YDR261C-C,Fkh1,0.171264330390841
YDR270W,Rap1,2.90766894697983
