"","gene","decay60","synthesis60","halfLife60","decay20","synthesis20","halfLife20"
"53","YDR089W",0.00369236369976077,0.161854458489701,0.00834331172744868,NA,NA,NA
"54","YDR275W",0.00137325434515921,0.0768924215468423,0.0224332378534351,0.000518679205542085,0.0810202806794831,0.0593942094247311
"55","YDR043C",NA,NA,NA,NA,NA,NA
"56","YDR129C",0.00111487325635058,0.738780825832856,0.0276323260807796,0.000279395915497415,0.476092283792058,0.110261244525977
"57","YDL066W",0.000739611527578307,0.403342316096477,0.041652327214381,0.000220628559578472,0.368766584242,0.139630795836578
"58","YDR302W",0.00115445023891048,0.119053457364535,0.0266850318185162,0.000568497558727621,0.104595343496163,0.0541893995590223
"59","YDR239C",NA,NA,NA,NA,NA,NA
"60","YDR539W",0.00123368720909171,0.151538346654525,0.0249711119084235,0.0013222108503617,0.160989921225624,0.0232992652796582
"61","YDL125C",0.00491852927655207,1.15758809819719,0.006263364438041,NA,NA,NA
"62","YDR493W",NA,NA,NA,NA,NA,NA
"63","YDR101C",0.00136051013102607,0.810405390097994,0.0226433751985266,0.00139299589119037,0.757618035033034,0.0221153138735351
"64","YDR212W",0.00103473102228077,0.718411816286475,0.0297725115946708,0.000296941009938797,0.486042719637975,0.103746334548298
"65","YDR476C",NA,NA,NA,NA,NA,NA
"66","YDL131W",NA,NA,NA,NA,NA,NA
"67","YDR458C",0.00318240274344945,0.344838883985816,0.00968027740097665,0.00364715013203784,0.427107482305202,0.00844674341415354
"68","YDR168W",0.00105264021153692,0.275333131741964,0.0292659742812222,0.000504170128232049,0.22138998361924,0.0611034641545459
"69","YDR307W",NA,NA,NA,0.00364744548957397,0.213797001442584,0.00844605942605001
"70","YDR265W",0.00160047956826952,0.115080573204568,0.0192483190469771,0.000524424570015425,0.105745947568117,0.0587435126415104
"71","YDL076C",0.00212707692521075,0.0880015912629836,0.0144830405487886,0.00314966940420703,0.126322188972858,0.00978088091311149
"72","YDL006W",0.00111996467562868,0.11549156646384,0.0275067080494543,0.000439022256151014,0.087277492927939,0.0701707964154397
"73","YDL086W",NA,NA,NA,NA,NA,NA
"74","YDR238C",0.00101242292830682,0.906905682068015,0.0304285299126331,0.000612828807695256,0.63131413222854,0.0502694079837368
"75","YDR077W",NA,NA,NA,NA,NA,NA
"76","YDR381C-A",0.0018170583956927,0.163310284809601,0.0169540733700392,0.000363623803570456,0.136508563861537,0.0847209150108642
