"","TBP","TFIIA","TFIIB","TFIIE","TFIIF"
"YHR019C",0.207658972823992,0.503341236151755,34.71049439,10.34051315,7.81552897
"YHL032C",0.906601407798007,4.725105298,4.96189764270909,9.891428415,0.426879246719182
"YBR126C",0.611778643447906,9.918050728,7.631006108,12.61368959,7.425348396
"YPL158C",0.379559240536764,3.46094706688079,4.60880307614123,7.9030016181209,0.22869488177821
"YLL039C",0.435771584976465,0.724417190998793,0.724424578249454,8.96635521756675,0.168833969160914
"YNL186W",0.0374310328625143,0.37716596503742,0.412994032958522,9.520315916,0.133420336293057
"YDR237W",0.973539913771674,3.60552466892793,4.8178278124709,7.62581127021926,1.4422967020086
"YDL095W",0.431751248892397,3.17112376295963,6.571263905,11.67013845,0.456859003519639
"YDL067C",0.957576596643776,2.95012863260608,0.411196925211698,14.24127342,0.508484808728099
"YHR043C",0.887754905503243,2.436473964,4.50158702731147,9.936542698,0.362125420942903
"YOR343W-A",0.639978769468144,0.600761556066573,0.0953709839377552,8.82117118542247,0.163717637769878
"YOR343W-B",0.970966610359028,3.90514497201847,5.25100732275282,7.05136644006511,0.268317329697311
"YOR185C",0.618838207330555,2.681982632,1.941528671,0.886133402120322,1.441990436
"YBR199W",0.333427211269736,2.09514216,0.318786914926022,12.17196692,0.310848496155813
"YLR395C",0.346748248208314,0.700975871877745,5.206110822,18.65234242,0.247114071622491
"YKL020C",0.39848541142419,2.57925858,0.474596865242347,7.037230783,1.90399712322278
"YMR036C",0.784692775690928,4.941077244,5.299536031,5.790598968,0.905711494851857
"YPL078C",0.038936491124332,0.766161544481292,0.726774830138311,12.33245037,0.588251632172614
"YPR108W",0.748795386170968,2.158038776,0.360795885557309,12.83979469,0.672669416293502
"YHL003C",0.67727683018893,3.23197925341047,2.998723082,8.34198848036962,1.72210050431486
"YER032W",0.171264330390841,1.86886827,0.258844205411151,5.70281468,7.369767356
"YDR231C",0.261087963823229,2.641864044,2.8817782,11.11887967,2.16986751811335
"YPL117C",0.514412934659049,3.56322078512077,7.605349484,7.70691808139928,0.875825663330033
"YMR196W",0.67560727451928,3.28044879038705,0.5104014351964,8.24906061583921,0.951914381003007
"YIL115C",0.982817197917029,0.574071634327993,0.0331572908908129,8.742047155,0.836571131832898
"YDR394W",0.759544267551973,2.99794993829875,0.194617435568944,12.84990348,0.310286724707112
"YDL097C",0.566488424083218,3.21490125971573,6.571263905,11.67013845,0.633515031076968
"YDR186C",0.849689718568698,0.772665102267638,2.89525922051359,5.008699231,7.644845979
