"","TBP","TFIIA","TFIIB","TFIIE","TFIIF"
"YJL078C",2.9127527350411,2.691581628,19.61991168,18.89096904,5.99105896115469
"YEL011W",2.9127527350411,9.536179439,7.503503078,5.933831432,5.99105896115469
"YFL026W",2.9127527350411,4.367580696,7.96465491268707,8.77343409700929,5.99105896115469
"YML111W",2.9127527350411,3.958598897,7.96465491268707,8.77343409700929,5.99105896115469
"YPR184W",2.9127527350411,10.00333127,7.96465491268707,8.77343409700929,5.99105896115469
"YER032W",2.9127527350411,1.86886827,7.96465491268707,5.70281468,7.369767356
"YCL057W",2.9127527350411,2.725718847,5.012293808,13.83372566,5.99105896115469
"YDL084W",2.9127527350411,2.415545576,7.96465491268707,17.16412052,5.99105896115469
"YDR002W",2.9127527350411,3.770521079,4.332438505,12.3553565,5.99105896115469
"YNL004W",2.9127527350411,3.34596868,13.83174958,10.0831891,5.99105896115469
"YMR152W",2.9127527350411,3.804168006,7.96465491268707,8.77343409700929,5.99105896115469
"YNL219C",2.9127527350411,4.438140361,7.96465491268707,8.77343409700929,5.99105896115469
"YNL005C",2.9127527350411,3.34596868,13.83174958,8.77343409700929,5.99105896115469
"YPL159C",2.9127527350411,3.983514601,7.96465491268707,8.77343409700929,5.99105896115469
"YMR105W-A",2.9127527350411,22.43338275,7.96465491268707,13.57605425,5.99105896115469
"YNL053W",2.9127527350411,2.174318849,7.96465491268707,8.782817088,5.99105896115469
"YIL029C",2.9127527350411,5.477516435,11.54730183,5.892855939,5.99105896115469
"YFL036W",2.9127527350411,9.420652669,7.96465491268707,6.608535802,5.99105896115469
"YLR226W",2.9127527350411,2.761532827,7.96465491268707,7.62819099,5.99105896115469
"YGL037C",2.9127527350411,13.66661588,7.96465491268707,8.77343409700929,5.99105896115469
"YER079W",2.9127527350411,1.663572072,7.96465491268707,8.77343409700929,5.99105896115469
"YMR139W",2.9127527350411,6.000365901,7.96465491268707,8.77343409700929,5.99105896115469
"YDR507C",2.9127527350411,2.758874822,7.96465491268707,8.77343409700929,5.99105896115469
"YBR126C",2.9127527350411,9.918050728,7.631006108,12.61368959,7.425348396
"YPR127W",2.9127527350411,1.93243619,3.442295729,7.795140343,5.99105896115469
"YBL005W",2.9127527350411,5.67396318,1.885623892,4.193228907,5.99105896115469
"YIL045W",2.9127527350411,11.81693367,9.502921413,1.386458224,5.99105896115469
"YER070W",2.9127527350411,3.76770604,7.96465491268707,14.35800989,5.99105896115469
"YDR007W",2.9127527350411,3.729176329,7.96465491268707,8.77343409700929,6.856092513
"YDL148C",2.9127527350411,3.026002425,1.508634791,13.14046036,5.99105896115469
"YKL032C",2.9127527350411,3.872091003,3.10556501,9.276903927,5.99105896115469
"YNL058C",2.9127527350411,2.339669881,7.96465491268707,8.77343409700929,5.99105896115469
"YOL100W",2.9127527350411,6.026848589,7.96465491268707,5.970841227,5.99105896115469
"YBR297W",2.9127527350411,5.259529807,7.96465491268707,8.77343409700929,5.99105896115469
"YDR409W",2.9127527350411,4.841751366,6.508197053,4.416779192,3.207364397
"YDR119W-A",2.9127527350411,4.014308796,7.96465491268707,16.55926956,5.99105896115469
"YMR031C",2.9127527350411,8.594124863,7.96465491268707,8.77343409700929,5.99105896115469
"YNL011C",2.9127527350411,2.012527781,7.96465491268707,8.77343409700929,5.99105896115469
"YPR170W-A",2.9127527350411,1.676133883,7.96465491268707,9.485401166,5.99105896115469
"YDR451C",2.9127527350411,4.222094198,7.96465491268707,8.77343409700929,5.99105896115469
"YBR125C",2.9127527350411,1.720264543,7.96465491268707,10.0517223,5.99105896115469
"YKR093W",2.9127527350411,7.676506433,4.181596496,16.71880543,5.99105896115469
"YBL061C",2.9127527350411,5.196213533,7.96465491268707,5.89997993,5.99105896115469
"YEL041W",2.9127527350411,2.618546729,7.96465491268707,8.77343409700929,5.99105896115469
"YBR198C",2.9127527350411,2.09514216,7.96465491268707,12.17196692,5.99105896115469
"YIL157C",2.9127527350411,3.598365159,9.847697726,8.77343409700929,6.231352683
"YHR030C",2.9127527350411,3.493691173,2.255934909,8.77343409700929,5.99105896115469
"YDR373W",2.9127527350411,2.90752518,7.96465491268707,19.32806479,5.99105896115469
"YNL010W",2.9127527350411,2.012527781,7.96465491268707,9.903731972,3.309062897
"YGR180C",2.9127527350411,11.62804018,7.96465491268707,7.394267529,5.99105896115469
"YHR149C",2.9127527350411,11.49717177,20.83517722,9.191263814,5.99105896115469
"YFR021W",2.9127527350411,1.992528254,6.470024369,17.59256139,5.99105896115469
