Locus,resTime,pol,
YOR191W,9.47,Pol II,
YLR431C,4.795,Pol II,
TLC1,2.305,Pol II,
YLR130C,2.895,Pol II,
YBR060C,2.246,Pol II,
YGL120C,12.773,Pol II,
YML126C,2.33,Pol II,
tG(GCC)P2,5.98,Pol III,
YOL013C,3.687,Pol II,
YDR174W,1.989,Pol II,
YCR012W,1.683,Pol II,
tS(AGA)M,12.156,Pol III,
YPL199C,8.463,Pol II,
YJL133W,5.874,Pol II,
YDL183C,1.94,Pol II,
snR50,5.711,Pol II,
YPL220W,2.428,Pol II,
YBL056W,1.647,Pol II,
YMR050C,3.208,Pol II,
YKL155C,1.792,Pol II,
YDR037W,2.151,Pol II,
YIL134W,3.32,Pol II,
YDR449C,12.385,Pol II,
YPR025C,4.414,Pol II,
YMR241W,3.363,Pol II,
YER072W,2.218,Pol II,
YGL150C,1.522,Pol II,
YER145C,4.017,Pol II,
YKL082C,2.035,Pol II,
tL(UAA)L,2.792,Pol III,
YGR284C,1.712,Pol II,
tW(CCA)G2,3.346,Pol III,
YPR133W-A,1.589,Pol II,
tR(UCU)E,10.81,Pol III,
YGR254W,1.847,Pol II,
YDR308C,6.026,Pol II,
YKL058W,3.154,Pol II,
YDL065C,2.604,Pol II,
YPL067C,3.723,Pol II,
YPR045C,4.087,Pol II,
YMR295C,2.705,Pol II,
YPR137W,3.457,Pol II,
YKR018C,7.684,Pol II,
YOR310C,1.771,Pol II,
YPL168W,1.709,Pol II,
YDR364C,5.076,Pol II,
YFL005W,1.504,Pol II,
YMR002W,2.352,Pol II,
YMR090W,2.01,Pol II,
YFL033C,1.719,Pol II,
YHR007C-A,1.951,Pol II,
YGR159C,5.436,Pol II,
YGL063W,5.706,Pol II,
tD(GUC)G1,4.07,Pol III,
YBL071C-B,3.472,Pol II,
YJL109C,12.153,Pol II,
tK(UUU)O,3.667,Pol III,
YMR102C,2.431,Pol II,
YGR038W,5.324,Pol II,
YDR347W,2.666,Pol II,
snR52,3.987,Pol III,
YJR045C,2.458,Pol II,
YFR031C-A,1.519,Pol II,
YBR037C,3.212,Pol II,
YPL030W,3.278,Pol II,
YGL224C,3.674,Pol II,
YKL179C,4.979,Pol II,
YOL013W-A,12.156,Pol II,
YLR333C,4.805,Pol II,
YNL081C,1.89,Pol II,
YML062C,9.371,Pol II,
YOL122C,1.616,Pol II,
YER051W,3.651,Pol II,
YFR032C-B,13.139,Pol II,
YNL102W,2.277,Pol II,
YNR006W,3.985,Pol II,
YOR126C,5.438,Pol II,
YLR295C,3.133,Pol II,
YDR165W,2.157,Pol II,
YBR031W,1.732,Pol II,
tF(GAA)F,12.343,Pol III,
YGR105W,2.869,Pol II,
YBL033C,1.877,Pol II,
YJL148W,2.643,Pol II,
YPR055W,1.727,Pol II,
YHR088W,3.912,Pol II,
YGR125W,4.688,Pol II,
snR47,3.848,Pol II,
YGL234W,2.113,Pol II,
YPR113W,3.023,Pol II,
YFL022C,2.888,Pol II,
YHR209W,3.296,Pol II,
YGR268C,3.781,Pol II,
YDL208W,3.495,Pol II,
YKL010C,2.459,Pol II,
YHR026W,3.41,Pol II,
YGL009C,4.224,Pol II,
YJL080C,3.275,Pol II,
YLR303W,9.734,Pol II,
YLL006W,2.855,Pol II,
YPL125W,3.601,Pol II,
YNL251C,3.103,Pol II,
YGL187C,1.957,Pol II,
YBR111C,1.758,Pol II,
YGR158C,8.361,Pol II,
YOR132W,6.265,Pol II,
