"","L2","L4","L6","L8","U2","U4","U6","U8","T2","T4","T6","T8"
"YDL130W",1311.19486294161,1354.75920379333,981.95801631193,1798.10808967716,61.2846526802874,86.7057148919036,63.5498360703092,67.9575519563222,140.598483864757,96.7781462458274,107.630067545717,121.67023270502
"YDR100W",388.10083638339,323.727600906437,277.712077684971,446.743573364063,4.42260380167023,24.960736105245,1.73317734737207,4.16066644630544,30.4480793082913,20.2921919547703,22.8572605522992,22.62210356827
"YDR479C",629.309318975342,448.866001256825,304.287396123724,339.580784737792,6.94980597405322,7.22547624099197,1.73317734737207,4.16066644630544,100.299555368489,46.8281352802391,41.0677153879222,43.4099825228965
"tS(AGA)D1",0,0,0,0,0,0,0,0,0,0,0,0
"YDL117W",2381.98393374914,1679.84700470357,996.574441453245,1510.02111246108,3.79080325857448,15.7646754348916,1.15545156491471,5.54755526174059,224.778467834739,172.483631615547,145.934817372372,180.97682854616
"YDR140W",600.813807720718,461.107801291102,300.301098357911,428.651154505082,16.4268141204894,30.8724893933293,8.66588673686035,9.24592543623432,74.3291347820052,67.1203272350093,54.882543194257,54.4153302047576
"YDR381W",5893.75468695975,6179.38861730229,4616.13281281143,6360.18109119553,194.59456727349,428.273682647887,146.742348744169,251.489171865573,717.320927233568,561.937623362869,618.150749661631,723.295905980092
"tQ(UUG)D2",0,0,1.32876592193766,0,0,0,0,0,0,0,0,0
"YDR327W",0.401345228938356,0,3.98629776581298,1.3917245276139,0,0.656861476453815,0.577725782457357,0,0,0,0,0
"YDR062W",3379.32682766095,2667.35220746859,2252.25823768433,3061.79396075059,80.8704695162556,184.578074883522,68.7493681124254,97.0822170804604,403.88481670704,287.99303197347,361.446131151193,380.907311433303
"YDR143C",641.751021072431,382.216201070205,277.712077684971,417.517358284171,0,2.62744590581526,0,0.924592543623432,22.3882936090377,8.5851581347105,21.6013671153597,24.4563281819135
"YDL172C",16.4551543864726,14.9622000418942,2.65753184387532,9.74207169329732,0.631800543095747,0.656861476453815,0,0,0,0,0.125589343693952,0
"YDL053C",1975.01987160565,1573.7514044065,1009.86210067262,1472.44455021551,46.1214396459895,110.352728044241,25.4199344281237,30.973850211385,317.913769248335,182.629727592932,179.718350826045,181.588236750708
"YDR223W",117.995497307877,110.176200308493,50.4931050336311,79.3282980739924,4.42260380167023,4.59803033517671,0.577725782457357,0.462296271811716,30.4480793082913,22.6335987187822,8.91684340227058,12.2281640909568
"YDL037C",9.63228549452053,14.9622000418942,2.65753184387532,55.6689811045561,0,0,0,0,0.895531744361508,0,0.376768031081855,2.44563281819135
"YDL167C",5000.76155257191,3873.84961084678,2241.62811030883,3228.80090406425,38.5398331288406,63.0587017395662,16.7540476912633,17.1049620570335,844.486434932902,490.914951521173,403.016203913891,522.754014888401
"YDR246W-A",4.01345228938356,5.44080001523424,2.65753184387532,6.95862263806951,0,0,0,0,0,0,0,1.22281640909568
"YDR371C-A",0.802690457876711,0,0,1.3917245276139,0,0,0,0,0,0,0,0
"YDR517W",1458.08721673305,1176.5730032944,1454.99868452174,1643.62666711202,61.2846526802874,109.039005091333,36.9744500772708,54.5509600737825,184.479539338471,120.972682807284,174.945955765675,202.376115705334
"YDL226C",1572.87195220942,1005.18780281453,579.34194196482,1203.84171638603,61.9164532233832,111.009589520695,34.085821164984,50.390293627477,165.673372706879,137.362530155368,99.8435282366917,137.566846023263
"YDR467C",20.4686066758561,6.8010000190428,5.31506368775064,19.4841433865946,0,0.656861476453815,0,0,5.37319046616905,1.56093784267464,1.75825081171533,3.66844922728703
"YDL134C",2758.84710372226,2706.79800757903,1387.23162250292,2620.61728549698,60.6528521371917,139.254633008209,15.0208703438913,42.0689607348662,454.930126135646,378.527426848599,259.844352102786,331.994655069476
"YDR117C",824.363100239382,665.137801862386,451.780413458804,720.913305304001,3.15900271547873,10.509783623261,1.73317734737207,7.85903662079917,39.4033967519064,20.2921919547703,26.3737621757299,25.6791445910092
"YDR314C",1155.87425934246,916.774802566969,491.643391116934,850.343686372094,1.26360108619149,11.8235065761687,1.15545156491471,3.23607390268201,151.344864797095,131.899247706007,103.61120854751,136.344029614168
"YDR440W",1239.35406696164,1037.83260290593,465.068072678181,865.652656175847,5.05440434476597,15.7646754348916,3.46635469474414,2.7737776308703,105.672745834658,74.1445475270452,60.9108316915666,86.8199650457929
"YDR303C",1756.28672183424,1122.16500314206,787.958191709032,1287.34518804286,18.3222157497767,17.735259864253,6.93270938948828,12.0197030671046,154.926991774541,101.460959773851,88.540487304236,124.115865523211
"YDL078C",3810.37160354075,3291.68400921672,2709.35371483089,2983.85738720421,893.365967937386,1960.73150721464,457.558819706226,586.191672657256,2600.62418562582,1654.59411323511,915.295136841521,937.900185776383
"YDL238C",407.365407372431,308.765400864543,229.876504495215,303.395947019831,1.89540162928724,9.85292214680723,2.31090312982943,3.23607390268201,77.9112617594512,57.7547001789615,35.7929629527763,45.24420713654
"YDR529C",12389.527217327,10600.0386296801,7993.85578637696,10837.3588965295,823.236107653758,1795.20241514828,669.006456085619,907.94987783821,3405.70722380682,2131.46062417222,2080.51306763401,2024.98397346244
"YDR437W",114.78473547637,116.977200327536,71.7533597846336,109.946237681498,0,2.62744590581526,2.31090312982943,0,22.3882936090377,7.02422029203586,9.54479012074034,14.6737969091481
"snR47",42.5425942674657,91.1334002551735,139.520421803454,190.666260283105,1.26360108619149,10.509783623261,4.0440804772015,8.32133289261089,15.2240396541456,18.7312541120956,40.1885899820646,41.575757909253
"YDL196W",9.23094026558218,4.08060001142568,2.65753184387532,1.3917245276139,0,0,0,0,0,0,0,0
"YDR452W",3076.71252504143,2436.11820682113,1330.0946878596,2324.17996111522,99.824485809128,257.489698769895,58.9280298106504,86.4494028287909,683.290720947831,487.793075835824,318.620164951556,409.643497047051
"YDR445C",0,0,0,0,0,0,0,0,0,0,0,0
"YDR347W",2326.59829215565,1856.67300519868,1436.39596161461,1905.27087830343,189.540162928724,461.773617947032,97.6356572352933,139.151177815327,548.960959293605,303.602410400217,241.633897267163,290.418897160223
"tQ(UUG)D1",0,0,0,0,0,0,0,0,0,0,0,0
"YDR490C",1069.98638034966,724.986602029962,496.958454804685,684.72846758604,22.7448195514469,32.8430738226908,15.0208703438913,10.1705179798578,136.120825142949,74.1445475270452,73.8465340920437,105.162211182228
"YDR516C",1082.02673721781,909.973802547927,1995.80641475036,2112.6378329179,74.5524640852981,147.793832202108,68.7493681124254,86.4494028287909,252.539951909945,159.99612887415,362.953203275521,371.736188365085
"YDR509W",0,0,0,0,0,0,0,0,0,0,0.125589343693952,0
"YDL193W",675.062675074314,508.714801424401,324.218884952789,556.689811045561,3.15900271547873,13.7940910055301,4.0440804772015,1.84918508724686,52.836372917329,29.6578190108181,34.4114801721428,33.6274512501311
"YDL137W",2589.47941711027,2408.91420674496,1833.69697227397,2641.49315341119,344.963096530278,832.243490666984,167.540476912633,289.859762425946,886.576426917893,632.960295204565,501.980606744725,580.837794320446
"YDL118W",2.00672614469178,0,0,4.17517358284171,0,0,1.15545156491471,0,0.895531744361508,0,0,0
"YDR235W",867.307039735786,605.289001694809,530.177602853126,758.489867549577,8.84520760334046,2.62744590581526,0.577725782457357,0.924592543623432,73.4336030376437,67.1203272350093,73.09299802988,90.48841427308
"YDR233C",1106.91014141198,643.374601801449,519.547475477625,878.178176924372,25.2720217238299,9.19606067035341,8.08816095440299,5.08525898992888,34.9257380300988,28.8773500894808,32.6532293604275,41.575757909253
"YDR388W",1952.5445387851,1625.43900455123,1407.16311133198,1606.05010486644,79.6068684300641,118.235065761687,64.1275618527666,44.3804420939247,136.120825142949,102.241428695189,120.691359289888,112.499109636802
"YDR209C",0.401345228938356,2.72040000761712,0,1.3917245276139,0,0,0,0,0,0,0,0
"YDR049W",884.163539351197,658.336801843343,389.328415127734,918.538188225176,0,5.25489181163052,2.31090312982943,1.84918508724686,59.1050951278595,52.2914177296003,55.7616686001146,90.48841427308
"YDL194W",1918.0288490964,1528.86480428082,837.122530820726,1146.78101075386,7.58160651714896,18.3921213407068,2.31090312982943,2.7737776308703,240.002507488884,167.800818087523,122.198431414215,159.577541386986
"YDR021W",780.215125056163,599.848201679575,387.999649205797,641.585007230009,3.15900271547873,3.94116885872289,2.31090312982943,0.924592543623432,63.5827538496671,56.1937623362869,58.3990448176876,84.3743322276016
"YDR353W",7027.95630393955,6508.55701822396,4511.16030497835,5846.634740506,155.422933601554,188.519243742245,83.1925126738594,98.9314021677072,497.915649864999,321.553195590975,358.180808215151,357.062391455937
