gene,resTime,Z_resTime,,
iYBR082C-1,55.48073054,1.517703187,,
iYDR043C-2,55.01650385,1.607724464,,
iYBR076W,47.89852869,2.424905543,,
NA,29.05510813,2.994062512,,
iYJL158C,56.3994416,1.57135862,,
iYBL050W,52.42224314,1.80974291,,
iYOR327C,69.60427326,1.787527546,,
iYPL250C,37.31493379,2.259054884,,
iYBR157C-1,35.87290545,2.179712607,,
iYiR017C,44.79378821,2.344123086,,
iSNR47,27.19543735,2.127884225,,
iYLR120C,58.947013,2.111253482,,
iYKL097W-A-1,48.2743093,2.134054257,,
iYOR316C-0,26.14891809,1.992849022,,
iYLL018C-A,61.08962385,1.628255148,,
iYER028C,37.67884168,1.517044312,,
NA,34.67047654,3.418805432,,
iYDL138W,43.78437457,1.977338136,,
NA,95.70997275,1.939193156,,
iYFR053C-1,49.87391873,1.739197184,,
iYPR014C-0,46.58511104,2.356740172,,
iYDR134C,59.23695457,1.500012715,,
iYGL146C,42.91182847,2.053392421,,
iYLL056C-1,12.27909901,1.798110897,,
iYAL069W,29.10107648,4.520324422,,
iYiL119C-1,52.88399705,1.670689163,,
iYDR155C,28.08722409,1.61709128,,
YDL220C,147.1804205,1.518462249,,
NA,33.63367533,3.910182443,,
NA,24.63645705,3.215364115,,
iYMRWDELTA15,50.35293885,2.068862411,,
iYLR327C,58.74075332,2.490664086,,
iYAL068C-0,29.99870706,3.109492255,,
YKL029C,55.83082011,3.125244161,,
YKL086W,43.41159576,1.926908075,,
iYNL193W,53.80556541,1.725565891,,
iYDR460W,64.61628845,1.957540118,,
iYGRWDELTA19,56.53880303,1.721139311,,
iYJL128C-1,43.99539808,3.628580104,,
