,L1,L2,L3,L4,L5,L6,L7,L8,U1,U2,U3,U4,U5,U6,U7,U8,T1,T2,T3,T4,T5,T6,T7,T8
YGL100W,382,5099,141,1289,82,908,85,1188,764,209,587,464,353,168,555,263,464,727,458,520,577,2508,554,653
YGR288W,41,645,21,126,14,117,8,141,66,8,41,4,40,5,99,3,48,67,57,36,86,222,71,48
YGL174W,1,263,15,57,3,34,1,120,12,0,3,4,0,0,1,0,2,5,3,2,1,24,4,5
YGR211W,157,24698,402,6039,211,4260,261,6587,566,67,495,136,278,34,509,62,232,558,293,550,396,4069,389,1131
YGL204C,5,161,10,48,11,57,14,65,19,1,12,8,9,0,10,10,3,9,14,10,9,91,10,27
YGR270W,83,8988,227,1763,167,1282,227,1919,309,25,283,51,176,13,341,23,114,139,164,204,252,1263,265,338
YGR204W,106,11424,552,2213,313,1615,388,2006,286,107,185,109,113,60,148,77,109,167,105,117,180,1044,147,178
YGR266W,124,7150,116,1643,103,1167,94,1639,491,93,378,210,129,47,357,54,229,285,265,291,208,1329,256,390
YGL070C,224,3719,58,1035,33,605,29,845,350,44,226,86,204,21,290,28,234,315,218,272,239,1467,285,361
YGL225W,129,6943,261,1589,158,1319,191,1339,394,71,236,178,201,74,337,141,166,232,208,201,326,1557,307,358
YGL120C,29,9028,156,2134,154,1421,140,2431,111,4,74,19,64,8,153,19,36,73,37,92,142,965,88,180
YGR252W,14,1315,28,447,20,167,15,473,44,9,64,26,31,3,104,9,34,45,60,87,64,260,91,135
YGL106W,65,2714,76,632,46,561,31,824,187,69,189,171,108,80,228,125,93,161,138,126,154,1184,208,216
YGR284C,123,6445,164,1606,85,1230,64,1419,873,119,323,267,137,68,231,138,147,305,244,296,201,1756,226,394
YGR032W,280,12760,600,2430,754,2384,836,2881,896,232,925,481,870,237,1921,425,514,805,759,647,1600,4590,1817,1031
YGR174C,575,3867,186,893,63,571,108,731,1570,382,745,736,331,143,532,250,1014,1124,645,667,562,2476,667,455
YGR208W,36,2579,12,577,20,370,19,664,104,8,35,9,66,5,76,9,72,89,33,80,44,478,73,127
YGL016W,195,3967,86,835,77,769,82,1018,253,61,340,151,227,65,436,145,234,381,291,337,427,1893,462,494
YGR255C,74,2525,47,496,46,408,48,630,235,60,182,134,101,31,191,89,99,156,153,146,179,706,168,199
YGR146C-A,0,21,1,3,7,20,0,22,9,0,1,0,0,0,0,0,1,2,0,0,3,12,0,5
YGL194C,36,2118,25,525,19,266,22,420,71,4,38,10,23,1,40,1,16,44,29,42,37,199,21,54
YGR091W,34,2207,29,469,24,357,20,536,119,11,115,12,45,0,107,11,41,102,67,67,96,427,112,114
YGR200C,819,16359,274,3740,224,2298,253,3079,1258,200,1095,344,819,127,1411,162,952,1577,975,1278,1260,5578,1517,1280
YGR191W,124,6384,154,1590,163,1118,166,1585,294,61,143,82,118,16,189,22,109,185,132,123,158,861,146,179
YGL227W,239,4202,201,910,66,599,95,792,267,26,470,100,189,8,437,22,310,269,389,291,260,1118,344,307
YGR081C,80,3503,26,807,25,493,33,768,214,21,89,52,105,10,173,17,106,118,79,90,121,669,110,174
YGL243W,136,1701,18,445,18,246,32,402,228,18,161,42,120,28,208,44,156,188,139,162,154,758,211,187
YGL194C-A,27,304,2,92,2,57,1,85,73,14,54,22,17,2,25,6,15,31,25,27,12,110,35,37
YGR148C,934,10325,411,2373,481,2191,283,2745,2709,1001,1074,1325,1092,886,1252,1393,944,1529,899,911,1283,6860,1194,1253
YGL136C,4,1293,16,319,18,194,16,289,46,6,19,9,16,10,45,2,16,47,28,20,29,244,42,47
YGR276C,486,4784,71,1142,53,726,65,945,569,107,446,228,305,73,531,123,442,612,405,500,498,2012,551,382
YGL129C,92,4855,161,1114,65,824,89,1075,269,96,260,205,112,57,241,87,158,257,214,206,243,1210,251,241
YGR053C,38,287,8,82,3,34,2,63,61,3,38,9,14,3,30,2,45,42,48,20,25,92,46,19
YGR069W,0,12,1,6,2,6,2,7,1,2,1,0,0,0,0,0,4,0,0,0,1,8,1,0
YGL224C,8,889,18,218,8,138,5,228,56,5,24,6,21,3,34,12,19,44,25,47,41,251,45,56
YGL020C,74,2454,33,531,33,425,18,552,263,37,167,67,98,25,170,37,98,197,126,123,173,877,197,205
YGL189C,131,4629,465,1233,296,1036,370,1749,300,209,109,154,172,127,179,202,124,243,127,155,192,1087,196,192
YGR122W,10,906,9,210,23,188,11,312,48,2,27,5,20,0,46,5,13,14,14,15,15,125,30,39
YGL003C,36,2335,54,547,38,380,43,535,131,3,67,7,47,3,86,5,50,78,77,92,65,246,62,99
YGR210C,536,7853,191,1992,165,1627,110,1869,1094,248,673,511,504,218,687,300,673,1084,581,761,654,3939,686,880
tG(GCC)G1,0,9,0,1,0,2,0,2,2,0,2,1,1,1,1,0,2,0,0,0,1,4,2,0
YGR079W,1,1404,18,294,28,332,19,539,27,0,11,4,9,1,19,5,10,13,6,10,29,196,20,26
YGL115W,141,5053,68,1239,75,957,59,1367,565,94,277,152,182,40,268,87,168,268,156,219,184,1243,239,348
YGL105W,157,14174,282,2877,229,2259,251,3513,907,366,448,653,383,399,682,662,306,373,278,297,473,2836,416,594
YGR026W,8,1273,60,310,21,250,46,439,49,4,34,19,16,11,26,16,18,20,36,21,13,132,16,41
YGR087C,1,26,0,0,0,3,2,3,7,0,0,3,1,0,2,0,1,0,0,1,2,7,1,1
YGR278W,11,1453,19,337,18,193,25,387,75,1,24,5,17,2,40,1,23,33,35,32,34,205,37,64
YGR042W,13,918,34,217,12,132,20,214,62,6,45,15,35,2,60,12,34,47,48,28,31,227,60,52
YGR043C,84,430,48,107,8,121,9,128,250,48,137,98,33,14,52,27,126,97,142,79,47,244,66,51
YGR110W,64,1874,40,510,35,343,21,368,234,41,178,59,84,21,126,24,101,101,122,54,123,455,93,111
YGR089W,30,1779,60,357,44,257,52,457,60,0,32,3,26,2,41,6,28,29,46,30,41,180,48,62
YGR262C,73,2454,31,596,20,439,23,625,247,44,153,73,137,35,179,61,112,242,156,163,152,1012,205,231
YGL200C,252,5638,216,1312,179,1160,119,1312,1102,319,611,616,300,189,566,318,415,647,484,424,460,2560,496,599
YGL117W,64,1529,16,330,23,328,22,341,164,16,85,31,84,12,113,8,54,108,70,76,79,549,75,89
YGL186C,203,4899,77,1097,58,650,38,799,639,21,350,50,247,15,380,26,274,398,335,340,287,1267,353,372
YGR010W,50,2607,35,592,23,381,18,523,181,27,164,54,70,15,157,44,117,188,118,134,149,632,118,156
YGR198W,74,4012,86,865,72,651,91,1055,232,14,118,33,93,15,193,30,60,92,109,97,179,803,224,220
YGR137W,16,492,16,182,4,94,8,149,28,5,27,13,12,3,18,12,12,10,30,4,10,72,22,25
YGL058W,162,4064,42,975,32,597,40,959,325,19,232,47,145,6,226,20,155,216,194,195,164,984,206,326
YGL226W,7,750,27,125,13,128,13,188,81,11,41,39,16,11,40,17,22,37,27,43,27,240,37,50
YGL055W,8259,112904,3606,26774,1626,8307,1566,11643,12080,1128,12155,1927,5026,294,8334,539,10052,8683,11062,6151,7885,15537,8836,3526
YGL184C,10,890,11,156,5,26,4,45,38,2,24,0,9,0,14,3,13,33,23,19,9,51,17,6
tV(AAC)G3,0,34,1,8,1,8,0,10,2,0,1,0,4,0,7,0,0,8,2,3,0,11,7,5
YGL151W,243,5738,103,1162,86,772,103,1186,218,19,270,63,170,9,326,17,194,212,171,198,272,1152,285,323
YGR101W,461,6164,83,1561,52,941,39,998,521,100,530,158,286,23,428,35,551,667,542,490,375,1822,468,334
YGL230C,4,61,1,20,0,7,1,11,7,1,19,11,14,5,13,4,8,7,12,12,5,42,6,15
YGR103W,565,22233,343,4785,397,3162,355,5301,1426,376,1109,842,858,434,1968,778,906,1832,1086,1784,1616,9710,2076,2240
YGR096W,4,516,8,112,4,81,8,93,31,3,9,3,9,1,14,1,9,21,6,5,12,98,11,14
YGR112W,12,2582,79,633,38,372,36,533,102,20,47,27,31,12,36,14,29,50,14,38,42,297,47,68
YGL013C,64,4942,74,1082,83,721,127,1037,127,16,120,29,70,6,149,22,71,120,82,96,113,736,103,195
