,L1,L2,L3,L4,L5,L6,L7,L8,U1,U2,U3,U4,U5,U6,U7,U8,T1,T2,T3,T4,T5,T6,T7,T8
YMR207C,247,6051,238,1525,95,797,146,1526,281,64,429,223,264,52,602,138,298,477,427,490,424,1994,580,606
YMR236W,13,2022,42,515,40,361,29,446,191,27,58,66,68,20,56,28,36,66,30,45,67,377,54,77
YMR204C,3,489,9,132,1,67,6,122,18,0,11,0,11,1,13,0,5,19,3,8,7,69,9,12
YMR011W,114,4739,318,1119,251,869,248,1343,282,19,312,45,220,6,355,10,91,112,186,96,273,590,256,182
YML008C,834,27902,783,5606,488,4111,444,5562,1918,709,1386,1192,888,349,1316,613,950,1547,1182,1326,1263,6812,1181,1501
YMR109W,94,10051,195,1858,146,1336,186,2105,253,57,261,57,165,16,293,28,139,206,155,157,180,1159,223,282
YMR004W,15,2045,38,496,34,323,31,579,66,8,50,17,33,16,33,8,21,35,24,40,56,194,27,69
YMR158C-A,17,117,1,41,1,18,1,44,15,0,27,1,3,2,16,3,11,11,16,13,10,52,20,11
YMR216C,244,13298,246,3079,182,1890,189,2851,741,22,538,26,382,12,698,23,356,499,459,549,587,3026,632,944
YMR159C,9,286,3,54,7,52,11,56,29,5,36,4,18,1,24,0,23,28,21,18,19,123,34,26
YMR272C,63,3720,114,874,71,858,112,1265,153,35,74,27,79,30,97,41,45,73,42,41,58,456,49,118
YMR106C,10,1117,28,252,25,182,16,261,28,6,19,1,25,0,31,9,26,18,10,11,38,169,29,23
YML092C,95,7568,123,2169,72,1142,93,1545,525,104,177,124,104,42,169,85,121,166,131,158,102,963,117,226
YML104C,52,3163,102,681,81,526,62,686,154,27,191,72,102,22,230,38,99,184,155,142,157,950,208,187
YML058W,77,3415,96,709,66,741,109,1030,76,21,56,27,62,14,83,32,51,75,61,73,77,579,125,162
YMR148W,4,400,7,72,2,71,4,75,10,0,10,1,1,1,2,0,8,5,9,5,4,35,4,5
YMR168C,54,2540,76,616,51,409,47,584,125,6,107,6,42,4,121,3,47,75,107,92,99,491,124,120
YML063W,1837,35912,1483,10902,1368,7433,1117,10844,9321,2950,4012,5846,2963,2582,4708,4995,2144,4875,2969,3997,4469,25157,4697,5735
YMR008C,254,7353,294,1548,257,1241,298,1772,600,158,434,161,397,71,693,108,225,239,244,162,433,1074,392,283
YMR177W,11,2299,13,553,24,430,22,567,54,8,46,5,31,4,81,3,31,88,34,76,54,558,83,124
YMR213W,10,1249,33,296,18,177,42,318,44,3,25,6,15,0,28,1,6,15,22,25,19,131,40,32
YMR192W,41,1269,28,268,6,140,13,243,65,2,31,3,18,0,23,3,25,39,30,31,28,115,35,36
YMR014W,48,5400,124,1121,108,687,91,1221,182,13,202,34,115,10,313,10,92,205,97,219,178,1058,228,316
YMR020W,138,1569,50,376,23,288,28,327,310,20,170,52,120,12,171,19,152,159,225,125,151,623,173,152
snR86,18368,6471,3690,4544,1199,1975,2016,5265,41028,11480,32606,44606,10671,10266,32620,38283,20294,22825,33799,32914,13408,71891,38611,30233
YMR208W,85,4844,137,1120,93,897,74,1132,266,46,185,141,142,51,320,62,183,284,215,171,297,1423,322,253
YML098W,28,1266,48,316,44,196,34,311,130,32,92,60,62,12,101,40,57,97,62,84,86,380,106,83
YML028W,331,13648,991,3331,347,2583,464,3483,816,403,437,514,268,195,367,298,570,819,514,683,558,4392,456,822
YMR285C,50,2658,45,598,52,449,42,614,158,2,124,11,75,3,181,7,103,171,96,99,160,707,173,198
YMR040W,129,372,27,105,18,104,9,106,224,10,121,20,66,5,130,7,137,41,129,25,96,180,105,52
YMR094W,17,1047,16,210,21,167,21,221,46,0,40,4,24,1,54,4,13,33,24,40,34,217,64,59
YMR189W,158,19647,705,3748,220,890,251,1239,714,241,524,301,133,90,272,134,188,297,228,230,212,830,171,175
YML128C,906,1660,362,551,62,671,76,762,1457,405,1382,1040,237,68,409,172,1163,781,1135,578,380,1524,428,328
YML022W,1319,8444,246,2504,222,2114,156,1968,2335,769,1125,1285,1179,756,1600,1296,1362,2190,1240,1387,1520,8034,1771,1693
YMR299C,36,1195,12,261,15,202,11,357,79,6,70,20,41,3,92,8,44,93,48,95,76,582,94,105
YMR227C,31,2145,94,475,64,295,72,412,73,0,68,12,37,1,87,3,40,54,32,50,82,322,83,69
YMR119W,59,2221,65,543,34,303,40,488,127,7,104,10,69,2,103,6,53,122,59,99,72,479,94,100
YMR255W,32,2033,42,388,25,273,27,440,89,7,54,24,36,6,74,5,31,47,36,26,38,235,42,48
YMR024W,45,4288,103,1035,65,665,71,1026,294,88,185,147,82,33,140,60,91,161,108,145,118,856,104,222
YML054C,1344,35150,1506,9229,280,3621,358,3852,3277,450,3118,1226,465,88,984,156,1355,1152,1832,1192,683,3392,696,706
YMR084W,12,170,19,52,7,23,9,35,45,0,29,2,12,0,16,3,22,11,23,12,15,56,9,11
YMR274C,5,350,2,90,10,83,3,145,6,0,2,1,5,0,14,2,2,6,5,3,11,42,12,11
YMR215W,32,2817,122,568,72,656,88,794,109,55,81,57,72,32,91,85,33,73,72,53,64,472,77,115
YMR277W,31,7010,168,1498,122,1078,145,1522,140,23,100,23,70,10,159,13,37,97,55,91,125,675,108,161
YMR033W,191,6902,105,1583,84,1143,78,1636,468,34,402,100,274,27,531,35,229,475,313,352,464,2244,490,547
YML041C,32,1192,43,333,18,246,13,368,90,0,94,9,53,1,149,4,50,71,85,79,67,377,115,107
YMR305C,65,4036,162,717,98,512,158,656,102,94,105,86,85,37,132,155,51,148,69,100,114,594,155,159
YMR315W-A,1,30,2,12,5,3,1,3,4,1,1,1,3,0,0,0,0,0,4,0,0,5,0,1
YMR237W,40,4167,141,1055,78,768,123,1253,161,53,108,75,62,37,83,52,37,61,64,67,78,566,74,122
YML095C,4,519,4,124,11,52,2,145,16,4,23,1,6,0,15,1,4,11,14,8,4,57,14,15
YMR018W,25,359,5,83,1,32,0,23,38,2,22,5,8,0,8,1,11,18,19,13,13,54,10,14
YMR163C,14,1273,19,272,18,185,4,273,47,3,15,1,11,0,26,2,13,14,9,17,7,103,14,46
YML027W,6,453,7,79,5,39,8,53,7,0,7,2,4,0,3,1,2,6,4,3,4,25,5,3
YMR162C,130,4102,88,1154,62,536,78,1171,178,30,264,64,128,16,248,31,126,153,159,170,195,919,229,269
YMR158W,71,2080,61,506,31,367,40,562,133,44,200,179,59,22,214,80,93,153,195,188,75,745,226,166
YMR210W,361,3268,63,769,41,635,42,691,423,37,340,86,187,13,329,28,327,347,257,232,275,1218,281,249
YMR241W,2195,13433,449,3400,330,2373,272,2922,3417,1158,2118,2142,1375,739,2019,1277,1884,3069,1940,2005,1889,8104,1979,1915
YMR205C,244,18865,909,3904,779,4228,925,6190,829,341,572,394,402,220,637,440,243,373,318,272,479,2741,485,677
YMR235C,90,8342,188,2167,137,1665,137,2372,626,216,322,291,251,148,406,328,150,333,198,309,343,2552,324,624
YMR047C,125,13948,319,2675,252,2081,231,2455,489,37,424,64,282,26,528,26,219,406,270,304,490,2592,466,498
YMR259C,59,5476,96,1056,80,753,155,1136,108,13,133,14,108,4,209,16,69,160,106,149,154,981,181,280
YMR175W-A,0,13,0,2,1,4,0,5,2,0,0,0,2,0,1,0,0,0,3,3,4,5,1,1
YMR281W,6,706,10,193,18,224,15,273,52,3,26,2,15,0,46,3,5,2,6,13,21,143,19,33
YMR261C,143,5269,245,1237,150,1027,240,1467,479,64,331,131,178,28,358,80,141,147,218,110,257,897,296,268
YMR026C,45,2594,30,685,39,417,31,644,241,33,129,90,97,20,153,41,66,110,86,130,105,571,150,133
YML010W,245,11952,289,2680,235,1613,266,3021,609,107,698,300,367,70,779,194,299,464,458,556,475,2612,607,745
YMR150C,256,1897,46,422,27,327,17,366,778,129,286,259,109,57,208,115,300,387,293,288,171,911,233,198
YMR067C,7,1380,49,286,13,151,14,360,26,2,13,4,10,2,14,9,6,15,11,18,16,80,15,22
YMR179W,33,2327,30,488,28,177,9,315,56,3,45,7,20,4,57,0,27,33,24,35,32,236,42,58
YMR126C,33,1212,22,314,15,224,15,301,96,6,59,6,64,0,71,3,58,87,46,69,74,424,92,96
YML032C,71,5171,80,1242,44,644,64,915,212,12,158,35,62,10,165,13,115,210,132,192,169,1051,192,276
YML018C,61,4358,61,1081,57,509,50,810,184,10,122,5,94,2,175,6,68,148,82,133,146,615,166,159
YML081W,151,4483,131,966,61,580,119,911,245,21,208,34,167,13,196,24,212,206,204,150,173,841,185,223
YMR003W,72,968,18,234,19,255,14,305,81,20,82,46,82,18,170,34,74,90,96,59,110,491,157,116
YMR221C,21,1712,48,394,35,310,48,465,52,11,17,14,13,3,30,6,10,18,16,12,26,120,25,21
YMR257C,79,3593,60,798,41,356,52,586,122,15,119,23,59,2,89,4,58,106,105,128,60,473,85,150
YML068W,71,1829,31,361,22,284,26,392,172,1,122,17,91,1,148,7,115,119,120,113,133,581,156,133
YMR117C,18,1092,18,251,23,146,11,219,55,2,61,2,22,0,66,0,35,37,38,57,64,261,63,79
YMR060C,37,1640,29,451,21,358,29,527,197,19,108,48,55,5,114,16,81,97,111,103,105,611,99,144
YMR144W,33,1523,39,355,19,259,32,365,95,5,48,5,46,0,112,3,37,40,44,65,73,377,74,107
YMR068W,12,552,10,103,6,93,11,137,21,0,36,4,12,0,35,0,25,23,12,18,15,143,22,22
YML097C,23,3046,60,701,57,455,56,761,80,14,54,24,56,2,106,11,29,60,43,74,47,410,87,106
YMR182C,1,80,1,11,1,16,1,33,1,0,1,0,0,0,1,0,1,6,3,0,4,20,3,8
YMR295C,787,8725,318,2166,244,1787,221,2150,1334,324,851,621,744,265,1028,452,891,1203,876,702,1048,4547,1079,840
YMR181C,6,298,13,34,2,39,10,48,3,2,7,2,0,0,8,0,11,8,6,3,2,15,7,3
YML080W,134,4807,64,1152,65,735,51,987,183,34,205,72,162,15,282,35,132,343,218,240,278,1653,282,335
YMR194C-B,24,507,27,126,9,126,10,137,53,13,34,7,17,3,27,11,23,16,36,8,27,124,23,31
YMR140W,19,1806,42,418,36,234,43,457,71,3,25,2,19,5,50,5,22,24,30,21,32,190,48,36
YMR058W,719,93007,1649,25411,656,11163,988,17737,3320,582,2393,1146,839,207,2232,513,953,2224,1293,2328,1257,10331,1919,3263
YMR076C,25,3466,134,643,48,433,99,595,79,11,66,27,27,9,74,12,39,55,32,63,52,361,70,87
YMR239C,208,5546,60,1170,84,797,56,1046,387,22,323,45,287,10,465,21,231,467,244,363,397,1880,429,402
YMR242C,74,5825,345,1440,282,1274,262,1988,225,119,74,90,81,62,105,117,56,113,79,98,113,751,136,179
YMR306C-A,6,49,2,25,0,11,4,8,10,0,8,0,5,0,11,0,1,15,1,1,5,24,5,2
YMR114C,39,947,41,234,22,165,11,151,81,12,37,34,28,15,32,22,30,49,38,32,56,233,40,49
YMR009W,11,1328,46,338,24,141,26,343,35,22,26,19,17,7,28,20,15,21,28,31,19,111,19,42
YMR088C,231,5887,128,1319,97,1126,90,1244,375,68,348,106,276,35,391,57,335,474,393,316,451,2142,518,436
YMR253C,14,519,8,165,8,103,7,151,23,1,18,5,11,0,19,2,21,15,16,10,16,109,27,26
YMR103C,125,2845,77,760,28,393,38,321,328,13,222,39,85,5,137,11,180,220,215,119,135,573,141,106
YMR303C,17887,152693,10714,34781,1583,8116,1507,7842,59928,27411,33833,45562,4450,4827,6515,7704,29803,40470,27994,25741,6228,32571,6580,6786
YMR316W,398,2011,113,616,110,500,96,945,769,13,491,45,572,14,930,26,329,162,443,104,884,831,1091,313
YML017W,123,4076,114,1117,40,659,111,1008,181,54,313,164,122,12,373,83,173,309,351,344,209,1322,437,454
YMR104C,295,12863,297,2849,169,1418,194,1335,769,23,704,63,303,15,583,19,423,524,553,439,504,1848,527,345
YMR309C,413,32999,553,6611,506,4926,526,7045,1377,345,1120,633,747,194,1675,312,668,1037,714,801,944,5015,1068,1351
YMR155W,145,2113,39,476,27,349,35,380,158,29,136,27,104,8,171,7,137,170,161,144,164,685,190,174
YMR313C,213,3609,78,901,59,620,56,824,344,12,247,18,208,4,412,8,238,316,263,207,383,1301,409,278
YMR028W,12,1043,28,262,12,152,34,308,19,1,23,8,12,0,46,4,11,26,31,39,15,136,38,48
YMR154C,13,1089,36,244,16,182,28,262,39,3,37,8,13,1,48,3,20,16,23,33,42,145,36,26
snR75,1,13,1,11,0,10,4,10,7,2,4,2,1,5,0,1,3,0,1,1,2,11,2,7
YML096W,19,2294,32,626,26,303,25,577,80,10,85,31,28,4,111,27,36,68,55,104,45,384,86,109
YML016C,109,3208,70,755,36,340,47,588,200,19,118,22,63,2,126,6,91,161,123,87,94,424,99,122
YML006C,38,2538,101,485,55,349,50,448,85,5,78,14,60,1,99,5,52,75,63,60,88,352,89,114
YMR178W,194,1803,73,503,45,313,37,486,452,56,262,98,184,38,331,51,194,251,268,184,207,932,311,208
YML109W,41,3924,75,814,43,477,66,678,138,11,100,7,66,4,136,9,57,106,79,104,93,537,128,139
YML015C,7,1532,35,276,14,223,21,381,30,7,26,4,10,1,41,4,22,43,22,22,27,153,31,45
YMR197C,27,1685,37,387,17,263,31,486,65,8,43,24,25,4,37,13,24,45,30,38,23,151,51,54
YML014W,39,1784,62,422,40,330,68,445,113,30,86,100,91,33,124,43,100,126,67,113,111,713,118,175
YML106W,269,12860,305,3011,252,2647,232,3292,1601,564,786,926,597,539,1010,804,529,1106,640,898,1028,6105,939,1323
YML025C,18,1833,76,404,33,234,40,415,44,22,13,11,22,9,24,9,21,21,10,26,16,117,24,18
YMR193W,150,4572,133,1068,65,703,78,942,596,115,399,266,172,67,346,113,274,351,310,331,285,1576,325,338
YML052W,12,3050,82,662,40,652,84,898,54,5,28,7,38,1,49,1,17,47,40,34,48,336,43,78
YML079W,56,1595,63,408,37,268,29,392,229,52,69,130,43,37,70,64,101,142,84,81,83,456,63,83
YMR174C,36,167,49,43,7,38,10,34,187,49,75,85,30,18,30,26,38,74,78,48,33,127,27,25
YMR218C,141,3346,92,1048,40,409,73,927,157,6,263,32,104,4,360,10,169,252,205,316,189,1172,292,361
YMR315W,19,1959,73,494,39,275,59,507,60,3,24,13,22,7,34,10,16,18,17,22,20,121,41,34
YMR001C,53,4338,62,926,49,695,46,1091,154,3,138,21,71,3,192,4,71,171,97,128,175,1046,201,284
YML121W,58,2283,39,604,26,312,35,606,218,26,118,41,82,25,159,17,69,119,76,126,106,680,109,143
YMR085W,9,248,10,77,8,38,8,49,35,1,29,1,12,0,15,1,13,10,13,8,17,56,14,24
YMR105W-A,3,9,1,1,1,17,3,8,3,0,1,0,1,1,1,0,2,2,0,0,1,11,0,2
YMR122C,3,19,0,3,0,5,0,1,3,0,0,1,3,0,2,0,6,1,0,0,2,4,0,0
snR78,8,150,9,86,6,40,9,45,19,1,20,12,23,2,24,5,4,11,12,20,16,78,25,31
YMR217W,373,27128,549,5127,597,4121,581,5883,1132,557,901,902,840,734,1576,1200,540,1293,675,933,1393,8163,1493,1805
YMR298W,7,594,21,180,9,118,13,197,17,10,11,16,4,2,16,8,16,13,11,13,13,78,12,14
YMR057C,2,35,0,11,1,6,0,8,10,0,0,0,1,3,5,0,3,5,2,1,2,14,3,2
YML042W,341,8232,361,1504,28,209,27,253,1053,362,558,617,12,10,54,31,255,385,353,312,58,234,49,43
YMR287C,81,4422,86,933,69,515,61,827,229,6,153,34,79,5,184,18,144,192,104,182,176,941,159,214
YMR289W,262,3423,132,799,63,474,65,660,273,63,301,133,152,32,303,55,271,447,262,260,296,1287,314,243
YML048W,549,15186,373,3657,225,3385,194,3517,1590,428,1252,758,764,306,1242,563,563,1156,902,795,1065,6403,1081,1123
YMR250W,136,879,126,264,97,382,106,460,544,99,290,199,152,17,277,69,235,167,243,119,291,639,250,141
YMR230W-A,0,3,0,6,1,0,0,0,1,0,4,0,1,0,5,1,0,0,3,1,1,2,1,1
YMR124W,22,2393,98,431,31,219,71,433,73,9,35,14,25,3,35,6,26,27,29,36,29,210,29,32
YMR311C,38,2552,86,487,59,387,64,618,73,19,40,17,40,10,66,16,45,44,33,47,40,276,45,61
snR77,4,353,4,118,8,49,3,55,18,11,19,12,12,3,22,6,6,39,10,20,29,109,14,22
YML119W,5,1192,22,222,7,156,14,234,46,8,35,4,17,0,36,4,29,33,21,16,20,145,8,34
YML043C,37,2374,28,511,40,373,28,675,108,5,67,5,73,0,150,3,71,137,60,112,127,756,138,214
YML046W,78,3288,48,724,45,567,28,673,230,17,173,29,127,14,217,10,155,227,188,201,263,1165,279,227
YML004C,1302,8748,240,2190,118,1884,149,2294,2383,659,1668,1158,938,355,1312,556,1486,1797,1375,1185,1219,5586,1378,1213
YMR071C,42,1541,38,472,19,311,16,513,116,27,110,52,50,17,106,11,50,89,93,103,62,540,52,145
YMR229C,610,40122,972,8825,888,5640,997,9551,1303,455,1706,1166,1283,571,2627,1145,834,1895,1212,1887,1940,13031,2538,3224
YMR063W,13,596,17,127,12,135,14,99,18,3,26,2,22,0,20,0,11,20,25,14,17,75,39,20
YMR301C,67,4133,90,838,37,636,92,729,182,42,113,103,94,65,171,98,76,166,70,127,149,802,158,176
YMR276W,28,5044,158,926,83,676,95,743,179,100,93,105,80,36,89,81,89,197,88,106,97,847,83,133
YMR002W,966,12603,613,3267,379,2620,339,2867,2060,802,1761,1871,1065,599,1664,997,1323,1878,1521,1293,1350,6662,1509,1334
YML081C-A,115,3049,298,892,82,618,152,1018,157,76,133,97,52,31,97,79,84,135,91,122,88,693,90,156
YML019W,123,2610,47,620,25,448,23,556,423,51,228,124,161,31,196,68,157,234,177,162,151,945,198,214
YMR176W,141,4611,150,1062,118,629,107,1006,267,68,283,132,205,45,402,65,141,244,238,256,307,1382,332,345
YML108W,49,1655,13,435,30,344,13,361,100,19,102,40,63,16,107,26,67,142,80,159,96,705,147,171
YMR198W,51,1774,30,417,39,276,26,408,72,1,86,8,53,2,142,5,50,120,76,119,83,532,92,146
YML094W,18,771,8,187,27,99,4,181,18,13,15,20,9,19,24,14,24,32,15,23,23,127,27,35
YMR006C,36,3145,178,672,91,368,115,527,86,57,73,31,25,23,59,27,24,29,43,38,50,200,40,42
YML003W,14,333,5,80,9,41,12,59,16,3,15,4,11,0,24,3,10,11,18,11,16,104,18,15
YML057C-A,1,9,1,5,0,2,0,0,6,0,1,2,0,0,2,0,4,0,0,1,3,8,1,0
YML093W,101,9304,274,1827,206,1324,282,2294,193,35,285,64,181,23,416,23,100,223,150,268,249,1829,299,419
YMR116C,2515,40785,2455,12364,2146,10538,1795,11600,21439,6344,7578,10084,5967,6457,8457,11189,5093,8810,7445,7351,8837,50004,9301,10585
YMR196W,369,2639,203,686,88,596,89,886,642,118,667,399,168,60,454,156,446,376,552,282,292,1371,365,361
YML053C,6,589,27,136,14,134,12,190,7,0,7,4,15,4,20,2,9,21,6,16,12,109,16,22
YMR151W,4,53,0,19,1,14,1,16,1,0,3,1,2,0,2,0,0,2,3,1,5,10,3,4
YML009C,70,2200,78,575,38,465,36,528,402,73,177,184,89,36,160,101,120,212,155,155,155,897,155,168
YMR070W,19,1006,25,176,9,142,22,246,41,4,40,7,16,2,21,4,22,34,15,23,17,172,22,44
YMR219W,83,5090,173,967,104,695,145,1173,170,13,242,53,123,6,286,32,73,114,104,102,150,749,168,191
YML037C,16,823,17,200,6,81,14,162,46,0,40,2,32,1,38,3,27,46,24,37,22,182,45,47
YMR280C,74,5648,180,1060,133,1016,147,1167,222,19,211,21,96,4,249,10,97,98,131,93,165,868,162,170
YMR170C,127,922,61,220,31,174,19,202,212,63,213,163,67,23,96,47,81,84,130,82,95,324,88,79
YMR123W,16,1052,35,246,15,183,15,309,31,17,16,16,12,3,19,12,23,34,23,16,14,125,23,29
YML012C-A,2,38,0,12,1,5,0,13,7,1,4,0,0,0,1,0,0,1,4,3,3,9,1,2
YMR019W,45,2734,70,638,47,441,53,613,130,11,108,16,57,3,127,12,96,128,94,121,140,717,142,168
YMR206W,4,353,27,63,6,42,10,33,20,2,2,0,3,0,19,0,9,4,11,3,8,25,11,6
YMR165C,61,3574,71,691,51,428,38,603,162,19,160,34,90,8,150,16,153,163,131,125,194,720,158,136
YMR010W,14,2870,23,775,40,366,36,663,101,5,48,3,67,2,82,1,25,68,42,78,64,336,83,146
YMR184W,28,1705,15,402,9,296,5,373,207,16,76,42,38,9,80,26,78,112,83,87,67,513,73,92
YML126C,138,14532,565,3808,302,2920,371,4012,688,232,234,173,167,104,222,205,110,240,194,200,227,1782,173,303
YMR244W,6,17,0,2,0,6,0,5,15,0,0,0,3,2,9,3,1,3,4,0,2,4,4,0
YMR279C,3,69,1,17,0,14,1,16,15,0,6,0,3,0,0,1,6,5,1,6,8,11,3,4
YMR316C-B,11,265,20,91,8,37,15,125,11,3,23,11,7,2,45,2,19,26,42,31,20,89,38,38
YMR107W,90,310,96,96,22,100,17,38,478,37,419,190,63,4,159,19,163,90,341,128,119,223,180,30
YMR043W,20,1336,68,264,74,279,95,485,26,1,19,4,22,0,31,4,8,8,8,4,17,88,14,11
YMR270C,40,2559,39,656,29,502,26,721,124,18,105,31,93,14,176,28,71,134,110,143,148,933,205,170
YMR175W,26,46,8,7,0,4,1,2,72,11,44,40,2,0,10,6,49,27,36,19,12,22,5,9
YML009W-B,1,182,10,54,3,31,9,67,21,4,33,13,14,4,18,17,7,12,17,11,15,35,26,14
YMR035W,94,1915,44,510,25,347,30,436,400,47,157,100,110,31,166,71,131,189,138,156,158,751,138,147
YMR108W,643,56816,1595,12205,1132,11873,1302,16188,2656,662,1955,1087,1394,516,2446,884,990,1747,1339,1322,2201,13604,2261,3051
YML002W,39,1106,29,223,11,171,27,211,56,3,61,10,30,4,93,4,54,92,63,60,63,345,91,83
YML111W,46,3837,83,878,44,566,57,920,106,7,77,13,48,3,97,5,47,57,55,82,71,483,96,101
YMR278W,74,2627,119,600,48,527,72,708,165,31,167,89,81,13,145,31,89,166,115,119,123,860,142,179
YMR185W,71,3054,38,632,45,405,51,644,182,5,127,18,94,14,215,12,93,140,119,120,143,601,197,160
YMR304C-A,6,38,5,9,2,9,4,11,4,3,6,5,1,4,5,7,4,1,5,5,4,24,8,3
YML084W,0,21,2,11,3,11,2,5,5,0,8,3,1,1,3,1,0,0,3,1,3,13,1,2
YMR258C,152,4006,56,985,32,553,43,726,322,18,252,42,140,13,229,18,262,373,315,269,285,1185,302,315
YMR023C,79,1000,25,274,10,238,15,258,165,27,125,56,76,10,98,10,94,105,98,90,107,449,137,92
YMR291W,20,1151,91,276,108,428,146,467,67,1,37,0,57,0,98,1,25,8,27,17,65,192,75,32
YMR041C,29,1615,44,406,27,225,25,358,146,30,82,74,44,7,79,28,56,95,59,93,72,420,106,79
YMR029C,294,5301,88,1227,64,938,65,1155,692,58,508,152,279,32,501,47,391,451,388,371,393,1934,512,411
YMR092C,760,10091,248,2649,159,1658,162,2303,1192,234,1072,534,463,155,879,284,698,924,926,858,721,3490,976,915
YMR138W,14,732,18,177,13,108,13,152,69,20,46,53,51,14,82,40,48,68,51,51,50,291,54,76
YMR122W-A,46,5507,140,976,104,717,82,886,141,35,64,18,45,5,59,13,95,89,47,56,64,264,54,35
YMR053C,32,837,23,164,18,99,14,124,109,5,81,3,36,1,61,4,28,29,54,45,50,162,57,56
YMR220W,354,7528,132,1874,118,1349,93,1655,923,162,550,328,414,138,648,186,533,809,515,541,654,2998,659,663
YMR087W,9,532,16,147,22,131,13,163,74,3,33,10,12,2,29,3,7,21,26,21,36,171,37,29
YML031W,43,5955,95,1276,63,948,62,1153,231,25,134,32,117,13,190,14,67,136,81,134,203,878,138,232
YML118W,19,569,51,161,22,99,32,131,55,2,61,4,38,0,94,0,36,28,41,19,65,124,55,50
YML120C,232,20368,926,3825,387,2713,539,3597,522,141,366,107,224,48,353,78,182,305,237,182,208,1426,225,341
YMR078C,15,2568,52,602,24,303,40,537,58,6,46,16,26,7,57,9,23,46,27,62,59,329,62,75
YMR042W,2,554,13,92,3,111,12,99,15,0,7,0,7,1,8,0,21,5,7,11,14,64,13,15
YMR251W,23,1010,27,339,6,103,11,185,50,1,66,6,14,5,54,2,30,61,72,56,37,177,46,46
YMR223W,50,2614,19,619,25,391,45,604,124,5,117,5,67,0,169,14,61,170,73,132,129,729,129,184
YML007C-A,0,9,1,6,1,3,0,8,0,0,0,0,0,0,4,1,1,3,1,0,2,14,2,0
YMR256C,253,9589,557,2793,293,2022,265,2229,1152,268,1727,1400,418,216,1765,833,377,742,1746,1563,643,4580,1909,1565
YMR214W,132,3196,100,934,44,611,58,831,175,19,163,45,136,5,220,10,124,201,121,131,165,765,162,181
tP(UGG)M,0,10,0,0,0,7,1,3,2,0,0,0,1,1,5,0,5,1,0,0,5,7,1,7
YMR055C,1,265,7,48,3,56,1,69,19,0,6,3,3,0,6,0,1,2,1,1,5,12,0,6
YML117W,155,8262,234,1719,153,1172,147,1623,448,22,424,44,196,21,471,20,254,271,329,292,351,1673,408,367
YMR271C,21,260,13,89,9,44,2,53,70,20,49,13,10,6,34,5,21,23,32,22,19,84,21,17
YMR226C,78,3504,242,926,152,946,125,1374,887,196,280,390,172,132,238,231,155,260,208,224,281,1821,250,342
YML110C,686,3687,211,936,83,597,56,935,1788,642,1043,1199,340,205,545,445,954,1186,982,829,493,2206,490,514
YML047W-A,0,22,0,4,1,6,0,10,1,1,7,0,3,0,4,1,0,1,1,2,2,8,6,4
YML007W,138,12787,204,3070,141,1887,179,2801,437,58,418,96,237,54,514,62,304,520,299,445,484,3024,458,590
YMR190C,52,4192,106,854,51,556,81,814,168,21,152,42,96,19,188,33,110,161,128,172,168,925,170,211
YMR225C,36,639,29,157,31,118,16,209,23,13,31,25,19,8,39,9,19,35,25,41,22,202,54,90
YMR264W,234,3416,77,826,46,594,35,721,667,147,342,308,221,73,271,138,473,640,326,416,387,1680,410,360
YMR037C,13,1243,45,244,25,224,33,368,30,0,18,3,7,0,9,0,15,16,9,16,19,145,20,28
YML024W,2788,24321,499,6282,616,4704,424,6025,7175,2563,3719,5441,3561,2494,4976,4643,3458,5719,3669,4138,4836,25902,5258,5260
YMR182W-A,11,118,3,34,3,29,0,45,16,2,9,1,9,1,20,4,6,10,5,6,6,65,20,17
YMR030W,10,519,20,117,1,87,21,90,19,0,8,3,5,0,10,0,10,8,9,9,8,39,8,10
YMR187C,12,1193,17,271,14,225,19,306,61,4,38,2,51,3,56,0,18,28,8,15,38,170,36,66
YMR238W,394,5555,182,1279,79,564,71,826,767,222,542,449,250,71,440,184,544,696,561,497,412,1482,430,355
YML061C,90,4570,90,921,83,528,75,808,264,11,219,30,156,3,290,17,149,236,150,194,237,1131,296,240
YMR130W,37,1942,28,480,27,387,25,473,120,25,52,34,48,25,51,28,37,82,44,62,74,500,82,99
YMR005W,61,6134,112,1431,67,920,73,1324,279,37,235,75,188,34,292,48,119,185,134,211,193,1086,231,294
YMR054W,198,7201,245,1679,126,1152,166,1716,314,65,424,194,161,21,417,61,207,287,275,292,254,1608,367,445
YMR209C,90,2233,25,560,34,390,30,551,189,18,128,52,117,13,165,40,91,167,124,152,111,814,170,181
YML102W,185,3291,55,987,44,519,46,851,285,21,309,62,154,20,291,30,237,289,297,236,220,909,274,251
YMR194W,66,3517,129,1008,100,557,121,1170,139,73,73,61,73,27,97,72,36,90,40,77,48,521,83,135
YMR252C,5,180,5,78,4,45,1,63,13,0,17,3,7,0,17,1,5,8,10,7,19,60,9,16
YMR164C,4,483,33,86,8,82,21,131,24,0,26,3,11,0,19,3,15,17,6,9,31,118,22,18
YMR074C,92,1067,34,298,28,284,13,386,350,124,156,240,131,65,193,147,150,228,156,146,159,713,145,217
YML065W,64,3067,119,829,38,413,76,797,84,9,119,32,103,11,205,9,85,173,155,188,157,1008,264,242
