gene,synthesis_perCell_perMin
YGL167C,0.305288427
YGR050C,0.012945794
YGR217W,0.241219711
YGR296W,0.509606601
YGR177C,0.026343495
YGL068W,0.322036563
YGL100W,0.186940088
YGR288W,0.022143578
YGR266W,0.352198729
YGL070C,0.2594326
YGL225W,0.463006417
YGR252W,0.071012561
YGR284C,0.316413117
YGR032W,0.428930289
YGR174C,0.17290523
YGL016W,0.133342161
YGR255C,0.089454026
YGR200C,0.502107761
YGL227W,0.129586235
YGL243W,0.058885926
YGL194C-A,0.034265129
YGR148C,0.682634781
YGR276C,0.15041031
YGL129C,0.236373815
YGR053C,0.011384328
YGL224C,0.045216806
YGL020C,0.107989797
YGL003C,0.168202198
YGR210C,0.299126911
YGL115W,0.300648
YGR042W,0.061001681
YGR043C,0.018059041
YGR110W,0.09368636
YGR262C,0.115244979
YGL200C,0.253948044
YGL117W,0.07248518
YGL186C,0.136012242
YGR010W,0.103456045
YGR198W,0.460127999
YGL058W,0.376174199
YGL226W,0.168769972
YGL055W,2.755532778
YGL151W,0.226621845
YGR101W,0.211188923
YGL230C,0.0023832
YGR103W,0.667833428
YGR094W,1.079610581
YGR175C,0.788238186
YGL008C,9.772398747
YGR108W,0.159246281
YGR205W,0.096544766
YGL009C,4.162022182
YGL095C,0.113225812
YGL137W,0.762474692
YGR105W,0.20356777
YGL173C,1.71398624
YGL086W,0.134314686
YGR223C,0.084404492
YGL080W,0.514900283
YGL207W,0.653063156
YGR261C,0.295541998
YGL140C,0.378418206
YGL078C,0.465571746
YGR150C,0.192685682
YGR196C,0.048799803
YGR153W,0.015767605
YGL159W,0.074729605
YGR286C,0.117092264
YGL254W,0.084036221
YGL063W,0.046606439
YGR009C,0.128738394
YGR034W,1.332146269
YGR118W,1.501019866
YGR277C,0.049348111
YGR232W,0.088146602
YGL143C,0.154892368
YGR222W,0.096232393
YGL253W,2.822382266
YGR257C,0.241308705
YGL131C,0.268788541
YGR263C,0.045736271
YGL049C,0.264462581
YGL202W,0.460741116
YGL077C,0.369949966
YGR111W,0.098448808
YGR016W,0.020737783
YGR245C,0.500049371
YGR287C,0.009563011
YGL244W,0.266866248
YGL187C,1.439967749
YGR180C,0.378765511
YGR116W,0.540821675
YGR202C,0.236576749
YGR134W,0.223133258
YGR007W,0.160328454
YGL047W,0.067119754
YGR244C,1.085952232
YGR289C,0.061441423
YGL242C,0.076614802
YGR106C,0.338415833
YGR004W,0.054039118
YGR209C,0.488324987
YGR003W,0.116487099
YGR246C,0.12188002
YGL059W,0.073595402
YGL123W,1.915499898
YGL233W,0.20094199
YGL072C,0.058856805
YGR240C,4.259280261
YGR243W,0.549774342
YGR020C,0.225714314
YGR100W,0.237113917
YGR231C,0.27563203
YGL212W,0.047213311
YGL185C,0.064046742
YGR147C,0.306553145
YGR099W,0.084677093
YGR046W,0.229792624
YGR216C,0.104902688
YGR047C,0.143461175
YGR169C,0.056083249
YGR063C,0.185907666
YGR256W,0.006009596
YGL191W,1.075612706
YGR013W,0.149645974
YGR123C,0.289724662
YGL163C,0.084804187
YGL092W,0.811138247
YGR132C,0.371148169
YGL208W,0.150485153
YGL246C,0.109642866
YGL190C,0.399676754
YGR033C,0.214327243
YGL112C,0.180758845
YGL001C,0.174255872
YGR168C,0.038291305
YGL093W,0.12807973
YGR027C,1.311777863
YGR124W,1.078511701
YGL103W,1.222225206
YGL161C,0.169639459
YGR062C,0.098896395
YGR024C,0.146339552
YGR184C,0.597160917
YGR292W,0.021902408
YGL067W,0.142317332
YGL044C,0.074997719
YGL054C,0.465330811
YGL119W,0.110092584
YGR206W,0.057777762
YGL130W,0.155974599
YGR090W,0.609911405
YGR143W,0.162657811
YGL198W,0.201300431
YGL195W,0.650074573
YGL192W,0.066702096
YGL206C,0.651252757
YGL257C,0.119607949
YGL236C,0.19357023
YGL144C,0.041052604
YGL116W,0.103568232
YGL201C,0.261110655
YGR154C,0.020198604
YGL241W,0.146535666
YGR247W,0.085917448
YGR199W,0.172600292
YGR011W,0.052799187
YGL111W,0.321637971
YGL114W,0.43169688
YGL255W,0.055150585
YGR233C,0.829727354
YGR092W,0.208552017
YGL041W-A,0.14929723
YGR171C,0.285775078
YGL171W,0.24793087
YGL147C,0.756819098
YGR178C,0.512280167
YGL203C,0.322830463
YGL048C,0.587101257
YGR207C,0.283017813
YGR258C,0.098419554
YGL091C,0.191091866
YGR093W,0.160447133
YGR119C,0.381372172
YGR061C,0.765349459
YGR121C,0.172316271
YGL043W,0.287528894
YGL085W,0.078890005
YGR117C,0.0710942
YGR235C,0.247153209
YGL124C,0.059165708
YGL164C,0.088296786
YGR264C,1.94669762
YGL234W,0.39533615
YGL238W,0.694945374
YGR201C,0.039403897
YGL205W,0.274158453
YGL221C,0.195584972
YGL135W,1.378512058
YGR253C,0.48885728
YGL053W,0.101596624
YGL101W,0.278383084
YGR271C-A,0.168649711
YGR267C,0.273633269
YGR234W,5.453095164
YGL251C,0.070117272
YGL141W,0.137721347
YGL245W,0.371343618
YGL005C,0.094346088
YGR173W,0.194287115
YGR229C,0.570964426
YGR070W,0.06479538
YGR135W,0.295837242
YGL139W,0.303090489
YGL172W,0.232571992
YGR088W,0.019440181
YGL126W,0.176333155
YGR129W,0.110247855
YGL027C,0.1151096
YGL019W,0.224303254
YGR017W,0.207627107
YGL002W,0.126664215
YGR044C,0.02502181
YGL033W,0.002824928
YGR165W,0.27284982
YGL004C,0.074448906
YGL148W,0.494261192
YGR281W,0.279569646
YGL133W,0.243299024
YGR295C,0.119776935
YGR048W,0.162820469
YGR065C,0.237901586
YGL220W,0.145961094
YGL090W,0.168475045
YGL134W,0.269529608
YGL006W,0.432922216
YGR028W,0.248953184
snR82,0.141097248
YGL232W,0.10413057
YGR027W-B,0.13678456
YGR038C-B,0.106305704
YGR161C-D,0.080394681
YGR161W-B,0.158251989
YLL050C,0.325714665
YLR466W,0.300354789
YLR054C,0.003186226
YLL056C,0.016953114
YLR075W,4.38105919
YLR049C,0.067825022
YLR032W,0.104282833
YLR251W,0.034768333
YLR247C,0.27168682
YLR167W,2.301870077
YLR220W,0.314499304
YLR272C,0.17137599
YLR180W,0.50490528
YLR250W,0.431532433
YLR424W,0.039151471
YLR253W,0.183885634
YLR233C,0.040695587
YLR072W,0.067640137
YLR069C,0.437086213
YLR231C,0.037537988
YLR264W,0.868505461
YLR170C,0.098266978
YLR228C,0.078796223
YLL036C,0.243183305
YLR056W,0.837292609
YLR429W,0.521950805
YLL060C,0.370868206
YLR310C,0.694101788
YLR342W,2.380902612
YLR017W,0.276646742
YLR304C,3.271739548
YLR027C,0.761191716
YLR214W,0.08015508
YLL062C,0.04728381
YLR023C,1.046738704
YLL008W,0.535730413
YLR020C,0.135281341
YLR045C,0.415393903
YLR285W,0.118845035
YLL066C,0.748802897
YLR077W,0.196805205
YLR144C,0.192084509
YLR414C,0.24463764
YLR301W,0.187067261
YLR427W,0.144972291
YLR150W,0.979632164
YLR078C,0.138219564
YLR153C,1.250361029
YLR014C,0.127172803
YLR262C,0.067821846
YLR271W,0.036198973
YLR033W,0.178394073
YLL055W,0.039342956
YLR266C,0.098898236
YLR007W,0.060016446
YLL015W,0.21310803
YLR080W,0.010117613
YLR443W,0.097312953
YLR325C,1.728984702
YLL006W,0.175270058
YLR311C,0.006973795
YLR191W,0.094439463
YLR288C,0.04734929
YLL001W,0.621248629
YLR409C,0.67248378
YLR362W,0.102398063
YLR068W,0.204264343
YLL054C,0.091634046
YLR143W,0.160561979
YLR368W,0.101530855
YLR126C,0.046605564
YLR423C,0.028661187
YLR197W,1.782788576
YLL034C,0.34191953
YLR065C,0.116963877
YLL031C,0.263795596
YLR419W,0.337529876
YLR405W,0.133894682
YLR093C,0.190122569
YLR085C,0.102981129
YLR246W,0.083265297
YLR289W,0.077613176
YLR114C,0.248861003
YLR146C,0.084915309
YLR082C,0.067977586
YLL043W,2.018253089
YLR337C,0.010882882
YLR039C,0.184002055
YLR457C,0.036875599
YLR377C,0.627504309
YLR319C,0.097188231
YLL003W,0.080438686
YLR407W,0.143987433
YLR336C,0.268948437
YLR430W,0.398245352
YLR347C,0.789701387
YLR324W,0.125168624
YLR460C,0.634555645
YLR113W,0.312963372
YLR046C,0.034629208
YLR125W,0.035181132
YLR196W,0.505007975
YLL061W,0.285571645
YLR163C,0.355394789
YLL014W,0.163875497
YLR129W,0.781638816
YLR173W,0.071224942
YLR090W,0.130030656
YLR259C,4.144258546
YLR401C,0.558899449
YLL058W,0.112816672
YLR467W,0.348194283
YLR313C,0.065484706
YLR303W,0.192735218
YLR154W-B,0.001026579
YLL029W,0.741033072
YLR015W,0.085882358
YLR081W,21.72162002
YLR166C,0.153583227
YLR383W,0.102678835
YLR035C,0.047602158
YLR044C,2.087289217
YLR192C,0.963259666
YLR367W,0.674050012
YLR309C,0.134202703
YLR029C,2.274387488
YLR146W-A,0.084875739
YLR175W,1.119754033
YLL051C,0.195650549
YLR438C-A,0.372966527
YLR209C,0.058795232
YLR361C,0.081167661
