cluster,gene
7,YPL105C
7,YPL084W
7,YJL062W
7,YCR097W
7,YGL200C
7,YGL198W
7,YLR225C
7,YGR006W
7,YGR125W
7,YLL023C
7,YDR067C
7,YER063W
7,YDR068W
7,YPL213W
7,YBR059C
7,YOL129W
7,YGR021W
7,YGR020C
7,YNL125C
7,YGR127W
7,YCR023C
7,YMR080C
7,YJL104W
7,YGR116W
7,YNL213C
7,YLR147C
7,YOR157C
7,YJR064W
7,YHR059W
7,YML084W
7,YNL053W
7,YHR058C
7,YMR005W
7,YPR002W
7,YMR293C
7,YHR006W
7,YPR004C
7,YGL131C
7,YCR037C
7,YPL053C
7,YCR003W
7,YJR005W
7,YER121W
7,YMR300C
7,YDR458C
7,YNL097C
7,YPL031C
7,YER176W
7,YCR002C
7,YDR434W
7,YBR125C
7,YMR038C
7,YEL072W
7,YLR449W
7,YGR215W
7,YOR181W
7,YCR095C
7,YMR076C
7,YEL061C
7,YDR010C
7,YDL099W
7,YIR022W
7,YER026C
7,YDR129C
7,YDL100C
7,YCR009C
7,YKR013W
7,YKL117W
7,YDL002C
7,YNL177C
7,YGR135W
7,YHR027C
7,YDL092W
7,YDR261C-D
7,YLR026C
7,YCR028C
7,YDR003W
7,YLL043W
7,YNL138W-A
7,YMR294W
7,YEL051W
7,YOR158W
7,YOR060C
7,YBR129C
7,YBR159W
7,YDR185C
7,YDR350C
7,YKL125W
7,YGL252C
7,YGL203C
7,YML077W
7,YNL010W
7,YDR079C-A
7,YDR409W
7,YGL222C
7,YOR390W
7,YPL219W
7,YDR092W
7,YFL013C
7,YGL137W
7,YDR005C
7,YBL007C
7,YNL217W
7,YBR022W
7,YJL067W
7,YGR296W
7,YOR036W
7,YOR035C
7,YHR195W
7,YOL108C
7,YMR228W
7,YCR044C
7,YPL268W
7,YLR182W
7,YMR280C
7,YLL040C
7,YBR234C
7,YGL242C
7,YDL233W
7,YJL172W
7,YBR273C
7,YFR024C-A
7,YJL020C
7,YBR139W
7,YHR209W
7,YEL052W
7,YDR375C
7,YMR019W
7,YBR229C
7,YGL237C
7,YBR038W
7,YJR139C
7,YCR073W-A
7,YLR260W
7,YBL011W
7,YMR048W
7,YNL223W
7,YPR006C
7,YGR015C
7,YGR016W
7,YMR011W
7,YDR287W
7,YKR095W
7,YNR008W
7,YIR010W
7,YCL001W
7,YER142C
7,YER143W
7,YCL002C
7,YKR077W
7,YGR141W
7,YDR313C
7,YKL167C
7,YLR011W
7,YGL073W
7,YPR101W
7,YPR037C
7,YBL078C
7,YBL077W
7,YDR255C
7,YOR357C
7,YOL089C
7,YBL084C
7,YJL202C
7,YOR185C
7,YGR168C
7,YEL041W
7,YGR223C
7,YNL134C
7,YJL099W
7,YBR043C
7,YIR025W
7,YPL283C
7,YPR180W
7,YPR040W
7,YJL201W
7,YHR121W
7,YBL085W
7,YER080W
7,YAL013W
7,YLR425W
7,YGL109W
7,YFL005W
7,YAL014C
7,YHR123W
7,YGR220C
7,YPL180W
7,YBL059W
7,YKL128C
7,YDR371W
7,YDR370C
7,YDR171W
7,YLL006W
7,YBL059C-A
7,YDL178W
7,YMR197C
7,YKR008W
7,YKL142W
7,YDR197W
7,YDR196C
7,YNL157W
7,YJR013W
7,YNL003C
7,YDL142C
7,YPL139C
7,YGL244W
7,YDR328C
7,YDR168W
7,YHR074W
7,YNL208W
7,YOL038C-A
7,YDR204W
7,YML124C
7,YKL193C
7,YGL006W-A
7,YPL001W
7,YOL038W
7,YMR270C
7,YDR343C
7,YNL216W
7,YKR087C
7,YCR051W
7,YER112W
7,YDR081C
7,YDR319C
7,YGL012W
7,YGL219C
7,YER151C
7,YMR064W
7,YDR098C-B
7,YMR266W
7,YMR285C
7,YBL022C
7,YBR221W-A
7,YDR208W
7,YIR037W
7,YDR388W
7,YPL166W
7,YKR029C
7,YDR041W
7,YKL002W
7,YKL003C
7,YGR083C
7,YGR295C
7,YDR532C
7,YBL102W
7,YIL043C
7,YNL173C
7,YFL047W
7,YAR007C
7,YFL025C
7,YDR426C
7,YDR427W
7,YBR088C
7,YHR145C
8,YGL129C
8,YNR006W
8,YHR167W
8,YNL305C
8,YCL028W
8,YDR100W
8,YHR057C
8,YGR101W
8,YDL144C
8,YDL143W
8,YJL210W
8,YHR019C
8,YPR193C
8,YJR100C
8,YPR030W
8,YHR072W
8,YBR023C
8,YPL091W
8,YNL293W
8,YGR204W
8,YKL007W
8,YGR056W
8,YIL065C
8,YIL064W
8,YKL129C
8,YEL043W
8,YPL186C
8,YPL152W
8,YOR291W
8,YBR236C
8,YBR015C
8,YFL042C
8,YER155C
8,YER078W-A
8,YNL275W
8,YFR037C
8,YDL193W
8,YGR111W
8,YER087C-B
8,YER019W
8,YHR198C
8,YLR361C
8,YOR069W
8,YFL030W
9,YDL113C
9,YOR155C
9,YOL042W
9,YIL112W
9,YPL040C
9,YMR282C
9,YAR042W
9,YOL114C
9,YOR189W
9,YOL122C
9,YDL174C
9,YPL107W
9,YAL044C
9,YCR091W
9,YGL035C
9,YFL044C
9,YMR082C
9,YKL025C
9,YMR087W
9,YDR182W
9,YOR076C
9,YKR017C
9,YKR021W
9,YNL241C
9,YLL061W
9,YGR207C
9,YBR282W
9,YOR128C
9,YOL023W
9,YHL021C
9,YKL087C
9,YJR126C
9,YNL242W
9,YBL064C
9,YJL053W
9,YJL057C
9,YDL108W
9,YLR201C
9,YDL022W
9,YNR047W
10,YJR009C
10,YML059C
10,YBR286W
10,YFR053C
10,YHR008C
10,YDR502C
10,YPL004C
10,YLR069C
10,YHR132W-A
10,YPL075W
10,YLR297W
10,YNR029C
10,YGL062W
10,YLR093C
10,YHR097C
10,YGR180C
10,YOR220W
10,YOL117W
10,YBR169C
